Company,EMP_ID,Job Classification,Job Title,Region,Job Location,Division, Org/department of the employee,Division Revenue / year, Average tenure in the company, Total years of experience,Pay Grade, Total CTC ,Compa-ratio,Join year,Left year,Impact-Leaving,Reason-Leaving,Skill Level (out of 10), Input - avergage cost of rehire,Cost to train/year,Average courses/year, # of tickets/year, # of re-opens for a tickets/ year,customer satisfaction score ( out of 10),avg ticket complexity(out of 10),avg duration to close(hrs), Average score of positive feedback from customer sentiment (out of 10), Average score of negative feedback from customer sentiment (out of 10),Overall_Performance_Rating,Overall_Performance_Rating_Description,newtoposition,Manager,future_leader,Gender,Married,exit_interview_overallscore(out of 10),rehire?,left
Amazing R & D,180404,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",5,4,Z1-Z13,"$48,000 ",0.78,2012,2017,Med, Resignation to Competitor,6,4734,1181,2,95,50,8,6,1,5,9,1,Successful,yes,No,No,F,NO,2,No,1
Nikey R & D ,220046,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",4,1,Z1-Z14,"$48,000 ",0.78,2014,2018,Low, Resignation to Competitor,6,7662,936,3,183,66,9,5,2,4,4,1,Successful,yes,No,No,F,NO,6,No,0
Alphabet-Soup Research & Development,416855,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,4,Z1-Z15,"$48,000 ",0.78,2014,2017,High, Resignation to Competitor,8,4815,1099,3,184,59,8,4,1,7,5,1,Successful,No,Yes,No,M,NO,7,No,0
Alphabet-Soup Research & Development,772604,SOS Support,Helpdesk Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",2,1,Z1-Z16,"$48,000 ",0.78,2016,2018,High, Resignation to Competitor,8,6518,1043,3,175,60,8,4,1,7,9,1,Successful,No,yes,No,M,NO,5,No,1
Amazing R & D,321912,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,1,Z1-Z17,"$48,000 ",0.78,2014,2018,High, Resignation to Competitor,5,5101,1119,3,83,55,5,4,2,5,6,1,Successful,No,No,Yes,M,NO,4,No,0
Nikey R & D ,402907,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,3,Z1-Z18,"$48,000 ",0.78,2014,2019,High, Resignation to Competitor,8,6924,921,3,150,72,6,6,1,7,5,1,Successful,No,No,yes,F,NO,7,No,1
Alphabet-Soup Research & Development,299912,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z19,"$48,000 ",0.78,2016,2019,High,Personal,7,5498,1254,3,103,72,7,9,2,4,8,1,Successful,No,No,No,F,NO,2,yes,1
Netflex R & D,549288,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",5,1,Z1-Z20,"$48,000 ",0.78,2012,2017,Low,Personal,5,7346,1195,1,158,73,5,8,1,6,7,1,Successful,No,No,No,F,NO,4,Yes,1
Amazing R & D,195219,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z21,"$48,000 ",0.78,2014,2018,Med,Personal,8,7375,1198,2,181,72,7,9,1,6,8,1,Successful,No,No,No,F,NO,5,No,1
Nikey R & D ,320003,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,4,Z1-Z22,"$48,000 ",0.78,2014,2019,Med,Personal,7,5919,1354,2,150,77,5,9,1,5,4,1,Insufficient,No,No,No,F,NO,4,No,0
Alphabet-Soup Research & Development,380197,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",2,3,Z1-Z23,"$40,343 ",0.72,2015,2017,Low,Personal,7,8417,1418,2,84,62,9,7,1,9,7,1,Insufficient,Yes,Yes,No,M,YES,7,No,0
Netflex R & D,539545,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,1,Z1-Z35,"$40,343 ",0.72,2015,2019,High,Personal,6,8138,1225,2,146,77,8,8,2,6,6,1,Insufficient,yes,yes,No,M,YES,6,No,0
Amazing R & D,331170,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z36,"$40,343 ",0.72,2015,2018,High,Personal,6,5875,1371,1,144,72,9,7,1,8,9,1,Insufficient,no,No,Yes,M,NO,6,No,0
Nikey R & D ,659869,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",4,1,Z1-Z37,"$40,343 ",0.72,2015,2019,High,Marriage,5,4805,1434,3,186,79,7,9,1,5,4,1,Insufficient,yes,No,yes,F,NO,6,No,0
Alphabet-Soup Research & Development,352520,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z38,"$40,343 ",0.72,2015,2019,High, Resignation to Competitor,6,5502,1241,1,100,60,5,6,2,8,7,1,Insufficient,yes,No,No,F,NO,4,No,1
Netflex R & D,712998,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",3,1,Z1-Z39,"$40,343 ",0.72,2015,2018,High, Terminaton - School,5,7692,1041,2,108,56,5,5,1,7,4,1,Insufficient,yes,No,No,F,NO,3,No,1
Amazing R & D,201962,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,1,Z1-Z40,"$40,343 ",0.72,2013,2017,Low,Personal,7,7742,1405,3,127,56,8,5,2,8,6,1,Insufficient,No,No,No,F,NO,3,yes,1
Nikey R & D ,299137,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z41,"$40,343 ",0.72,2016,2019,Med,Inv Elimination of Position,7,5821,1259,3,190,54,9,6,2,4,9,1,Insufficient,No,No,No,F,NO,2,Yes,0
Alphabet-Soup Research & Development,473584,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",5,3,Z1-Z42,"$37,877 ",0.82,2014,2019,Med,Compensation,6,6217,867,3,186,58,4,9,1,5,6,1,Insufficient,No,Yes,No,M,NO,5,No,0
Netflex R & D,127535,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",2,1,Z1-Z12,"$43,897 ",0.67,2016,2018,Low,Compensation,8,7268,1424,2,92,74,7,8,1,4,5,1,Insufficient,No,yes,Yes,M,NO,2,No,1
Amazing R & D,492890,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,3,Z1-Z13,"$39,996 ",0.67,2014,2018,High,Compensation,5,4985,1058,2,88,56,7,9,1,8,7,1,Insufficient,No,No,yes,M,NO,6,No,1
Nikey R & D ,483645,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z14,"$39,000 ",0.78,2013,2017,High,Compensation,7,7707,1235,2,159,52,9,4,1,4,5,1,Outstanding,No,No,No,F,NO,7,No,0
Alphabet-Soup Research & Development,352870,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,1,Z1-Z15,"$39,000 ",0.78,2014,2018,High,Compensation,6,7272,1219,3,110,55,4,8,1,9,4,1,Outstanding,No,No,No,F,NO,3,No,0
Netflex R & D,393865,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z16,"$48,000 ",0.78,2015,2018,High, Resignation to Competitor,5,7441,1298,2,175,54,7,8,2,8,9,1,Successful,No,No,No,F,NO,5,No,1
Amazing R & D,757432,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",5,3,Z1-Z17,"$48,000 ",0.78,2014,2019,High, Resignation to Competitor,8,5147,1415,2,179,65,8,9,2,9,8,1,Successful,Yes,No,No,F,NO,7,No,1
Nikey R & D ,376613,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,2,Z1-Z18,"$48,000 ",0.78,2012,2017,Low, Resignation to Competitor,6,4925,1297,3,166,54,8,9,2,8,9,2,Insufficient,yes,No,No,F,NO,3,No,1
Alphabet-Soup Research & Development,191590,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,1,Z1-Z19,"$48,000 ",0.78,2014,2017,Med, Resignation to Competitor,7,7401,1219,1,104,71,4,7,2,5,4,2,Successful,no,Yes,No,M,NO,6,yes,1
Netflex R & D,734327,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,3,Z1-Z20,"$48,000 ",0.78,2014,2018,Med, Resignation to Competitor,6,5890,1150,2,98,59,9,8,1,8,9,2,Successful,yes,yes,Yes,M,NO,3,Yes,0
Amazing R & D,656524,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,2,Z1-Z21,"$48,000 ",0.78,2015,2017,Low, Resignation to Competitor,7,7338,1122,3,86,65,9,9,2,4,7,2,Successful,yes,No,yes,M,NO,3,No,0
Nikey R & D ,751921,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,4,Z1-Z22,"$48,000 ",0.78,2014,2019,High, Resignation to Competitor,8,7489,1414,2,96,79,6,8,1,8,9,5,Successful,yes,No,No,F,NO,2,No,0
Alphabet-Soup Research & Development,561160,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,1,Z1-Z12,"$48,000 ",0.78,2016,2019,High, Resignation to Competitor,7,4469,1338,1,105,57,9,7,2,7,9,5,Successful,No,No,No,F,NO,5,No,1
Netflex R & D,540643,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",3,2,Z1-Z55,"$48,000 ",0.78,2014,2017,High,Personal,7,5375,911,1,97,52,9,9,2,8,8,5,Successful,No,No,No,F,NO,7,No,1
Amazing R & D,671276,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",3,1,Z1-Z56,"$48,000 ",0.78,2016,2019,High,Personal,5,5195,1328,3,189,73,4,4,2,7,7,5,Successful,No,No,No,F,NO,6,No,1
Nikey R & D ,614712,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,1,Z1-Z57,"$48,000 ",0.78,2016,2019,High,Personal,7,4732,1246,3,114,51,8,6,1,4,4,5,Successful,No,No,No,F,NO,4,No,0
Alphabet-Soup Research & Development,718783,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,2,Z1-Z58,"$48,000 ",0.78,2014,2017,Low,Personal,5,5892,1181,2,149,54,7,4,1,8,9,5,Successful,No,Yes,Yes,M,YES,5,No,0
Netflex R & D,686967,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",2,2,Z1-Z59,"$48,000 ",0.78,2015,2017,Med,Personal,7,4940,1012,2,119,68,6,5,1,6,9,5,Successful,No,yes,yes,M,YES,7,No,1
Amazing R & D,376910,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",5,4,Z1-Z60,"$48,000 ",0.78,2012,2017,Med,Personal,5,7677,1224,1,122,80,5,4,2,9,6,5,Successful,No,No,No,M,NO,5,yes,1
Nikey R & D ,524529,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z61,"$48,000 ",0.78,2015,2018,Low,Personal,6,6319,1228,1,183,77,8,9,2,7,7,5,Successful,No,No,No,F,NO,2,Yes,0
Alphabet-Soup Research & Development,488973,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,3,Z1-Z62,"$48,000 ",0.78,2014,2018,High,Marriage,6,6434,956,1,169,80,7,4,2,4,9,5,Successful,Yes,No,No,F,NO,4,No,1
Netflex R & D,240221,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",2,1,Z1-Z63,"$40,343 ",0.72,2016,2018,High, Resignation to Competitor,5,7737,934,3,120,75,4,9,2,5,8,5,Successful,yes,No,No,F,NO,3,No,0
Amazing R & D,259596,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,1,Z1-Z64,"$40,343 ",0.72,2017,2019,High, Terminaton - School,5,6348,927,2,108,52,7,8,2,4,4,5,Successful,no,No,No,F,NO,7,No,0
Nikey R & D ,403109,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,2,Z1-Z65,"$40,343 ",0.72,2012,2017,High,Personal,5,5794,1063,1,154,57,4,5,2,9,8,5,Successful,yes,No,No,F,NO,5,No,1
Alphabet-Soup Research & Development,133982,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",5,1,Z1-Z66,"$40,343 ",0.72,2013,2018,High,Inv Elimination of Position,6,6104,1021,2,162,71,6,5,2,7,6,5,Insufficient,yes,Yes,Yes,M,NO,2,No,1
Netflex R & D,437599,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z67,"$40,343 ",0.72,2014,2018,Low,Compensation,7,7075,1321,2,86,78,7,9,2,7,8,3,Insufficient,yes,yes,yes,M,NO,3,No,0
Amazing R & D,329051,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",3,4,Z1-Z68,"$40,343 ",0.72,2015,2018,Med,Compensation,8,5857,1179,1,165,79,5,7,2,4,4,3,Insufficient,No,No,No,M,NO,4,No,1
Nikey R & D ,689155,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,2,Z1-Z69,"$40,343 ",0.72,2014,2017,Med,Compensation,5,7170,1409,1,106,55,8,9,2,4,6,3,Insufficient,No,No,No,F,NO,7,No,1
Alphabet-Soup Research & Development,658699,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,4,Z1-Z70,"$40,343 ",0.72,2014,2017,Low,Compensation,7,4643,1396,1,84,64,5,6,2,5,4,3,Insufficient,No,No,No,F,NO,7,yes,0
Netflex R & D,702748,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",3,1,Z1-Z71,"$37,877 ",0.82,2016,2019,High,Compensation,7,6184,1184,3,86,63,8,4,1,7,9,3,Insufficient,No,No,No,F,NO,5,Yes,1
Amazing R & D,383962,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,2,Z1-Z72,"$43,897 ",0.67,2015,2017,High, Resignation to Competitor,7,8377,1076,2,89,64,8,8,2,8,5,3,Insufficient,No,No,No,F,NO,7,No,1
Nikey R & D ,317069,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,4,Z1-Z73,"$39,996 ",0.67,2012,2017,High, Resignation to Competitor,8,6620,1121,2,109,51,8,9,1,4,8,3,Insufficient,No,No,Yes,F,NO,4,No,1
Alphabet-Soup Research & Development,247498,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",5,1,Z1-Z74,"$39,000 ",0.78,2012,2017,High, Resignation to Competitor,8,4467,1056,1,111,66,8,6,2,6,5,3,Insufficient,No,Yes,yes,M,NO,3,No,1
Netflex R & D,557830,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,3,Z1-Z75,"$39,000 ",0.78,2015,2019,High, Resignation to Competitor,8,5993,1106,1,189,79,8,7,2,6,9,3,Insufficient,No,yes,No,M,NO,4,No,1
Amazing R & D,192881,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z76,"$48,000 ",0.78,2013,2017,Low, Resignation to Competitor,7,6120,1328,3,96,76,5,9,1,8,8,3,Insufficient,Yes,No,No,M,NO,5,No,0
Nikey R & D ,787605,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z77,"$48,000 ",0.78,2014,2018,Med, Resignation to Competitor,6,5644,1207,3,144,57,6,7,2,9,6,3,Insufficient,yes,No,No,F,NO,2,No,1
Alphabet-Soup Research & Development,430785,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z78,"$48,000 ",0.78,2014,2018,Med, Resignation to Competitor,8,4862,1232,3,179,62,8,8,2,6,4,3,Outstanding,no,No,No,F,NO,7,No,0
Netflex R & D,306803,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z79,"$48,000 ",0.78,2014,2017,Low, Resignation to Competitor,5,5396,1054,1,144,75,5,6,2,5,7,3,Outstanding,yes,No,No,F,NO,5,No,0
Amazing R & D,419783,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",5,3,Z1-Z80,"$48,000 ",0.78,2014,2019,High,Personal,8,4813,1239,1,120,63,4,8,1,4,8,3,Successful,yes,No,No,F,NO,4,yes,1
Nikey R & D ,618736,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,3,Z1-Z81,"$48,000 ",0.78,2013,2018,High,Personal,6,4739,984,1,101,64,8,5,2,5,7,3,Successful,yes,No,Yes,F,NO,6,Yes,1
Alphabet-Soup Research & Development,138218,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",5,4,Z1-Z82,"$48,000 ",0.78,2012,2017,High,Personal,6,6673,891,3,165,77,5,9,1,4,9,3,Insufficient,No,Yes,yes,M,YES,7,No,1
Netflex R & D,379695,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z83,"$48,000 ",0.78,2017,2019,High,Personal,6,6059,1399,2,89,65,9,8,1,9,6,1,Successful,No,yes,No,M,YES,7,No,1
Amazing R & D,112726,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",3,1,Z1-Z84,"$48,000 ",0.78,2015,2018,High,Personal,8,5391,1281,3,93,80,4,7,2,9,4,1,Successful,No,No,No,M,NO,4,No,1
Nikey R & D ,461332,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",2,2,Z1-Z85,"$48,000 ",0.78,2016,2018,Low,Personal,5,5560,1370,2,183,54,5,4,1,8,6,1,Successful,No,No,No,F,NO,4,No,0
Alphabet-Soup Research & Development,250524,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,3,Z1-Z86,"$48,000 ",0.78,2013,2017,Med,Personal,7,8018,1083,1,158,54,9,4,1,4,5,1,Successful,No,No,No,F,NO,4,No,0
Netflex R & D,667287,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z87,"$48,000 ",0.78,2014,2017,Med,Marriage,5,6778,1072,2,87,55,5,5,1,7,8,1,Successful,No,No,No,F,NO,3,No,0
Amazing R & D,393554,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z88,"$48,000 ",0.78,2014,2018,Low, Resignation to Competitor,7,6442,870,2,81,60,9,7,2,8,7,1,Successful,No,No,Yes,F,NO,7,No,0
Nikey R & D ,411746,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,1,Z1-Z89,"$48,000 ",0.78,2013,2018,High, Terminaton - School,6,6195,1160,2,90,59,5,7,2,6,9,1,Successful,No,No,yes,F,NO,3,No,1
Alphabet-Soup Research & Development,771198,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",2,3,Z1-Z12,"$48,000 ",0.78,2016,2018,High,Personal,6,7101,917,1,91,68,5,4,1,6,8,1,Successful,Yes,Yes,No,M,NO,4,yes,1
Netflex R & D,537561,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z13,"$48,000 ",0.78,2014,2018,High,Inv Elimination of Position,5,4755,1197,1,105,61,5,7,2,6,6,1,Successful,yes,yes,No,M,NO,5,Yes,1
Amazing R & D,130337,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z14,"$40,343 ",0.72,2014,2018,High,Compensation,8,8179,1072,1,124,57,5,7,2,6,6,1,Successful,no,No,No,M,NO,6,No,1
Nikey R & D ,812915,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,4,Z1-Z15,"$40,343 ",0.72,2014,2017,High,Compensation,6,6353,1353,1,178,72,4,5,2,5,9,3,Successful,yes,No,No,F,NO,3,No,1
Alphabet-Soup Research & Development,428476,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,3,Z1-Z16,"$40,343 ",0.72,2015,2019,Low,Compensation,8,6244,1028,2,80,59,8,4,2,9,4,3,Successful,yes,No,No,F,NO,2,No,1
Netflex R & D,447735,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",5,4,Z1-Z17,"$40,343 ",0.72,2013,2018,Med,Compensation,6,6609,1318,2,139,71,4,4,2,4,9,3,Successful,yes,No,No,F,NO,5,No,1
Amazing R & D,667429,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",3,4,Z1-Z18,"$40,343 ",0.72,2016,2019,Med,Compensation,5,6424,887,1,81,57,4,6,2,6,4,3,Successful,No,No,Yes,F,NO,6,No,0
Nikey R & D ,643832,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",2,1,Z1-Z19,"$40,343 ",0.72,2017,2019,Low, Resignation to Competitor,5,5364,1096,1,98,64,6,6,2,9,4,3,Successful,No,No,yes,F,NO,5,No,1
Alphabet-Soup Research & Development,663194,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,2,Z1-Z20,"$40,343 ",0.72,2014,2017,High, Resignation to Competitor,6,7868,1131,3,129,57,4,8,1,6,5,3,Successful,No,Yes,No,M,NO,2,No,0
Netflex R & D,731811,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z21,"$40,343 ",0.72,2015,2019,High, Resignation to Competitor,7,8344,1043,2,130,61,5,8,2,7,9,3,Insufficient,No,yes,No,M,NO,5,No,0
Amazing R & D,584816,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z22,"$37,877 ",0.82,2016,2019,High, Resignation to Competitor,7,4714,1409,3,184,75,6,5,2,6,5,3,Insufficient,No,No,No,M,NO,4,yes,0
Nikey R & D ,181329,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z12,"$43,897 ",0.67,2017,2019,High, Resignation to Competitor,5,5097,1373,2,156,74,6,9,2,4,8,3,Insufficient,No,No,No,F,NO,2,Yes,0
Alphabet-Soup Research & Development,268784,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,1,Z1-Z12,"$39,996 ",0.67,2015,2019,High, Resignation to Competitor,5,7278,1156,1,112,51,8,9,1,6,6,3,Insufficient,No,No,No,F,NO,6,No,1
